"Without contract","Sem contrato"
"With contract","Com contrato"
"Shipping methods","Métodos de entrega"
"Others","Outros"
"Free shipping does not apply","Não aplicar frete grátis"
"Free shipping method","Método de entrega gratuíta"
"With debug mode enabled you can get all the messages sent by the module. To analyze the log file located in the open var/log/correios.log. For this role you must have enabled the Log localizated in System> Configuration> Developer> Log","Com o modo de depuração habilitado é possível obter todas as mensagens enviadas pelo módulo. Para analisar o log abra o arquivo localizado em var/log/correios.log. Para esta função é necessário que você tenha habilitado a opção Log localizada em Sistema > Configuração > Desenvolvedor > Log."
"You must configure the source address of delivery.","Você deve configurar a origem de entrega."
"The Correios module accepts deliveries only national, so the home country of delivery must be configured to Brazil. Do not forget to set the postcode too.","O módulo dos Correios aceita apenas entregas nacionais, portanto o país de origem da entrega deve ser configurado para Brasil. Não se esqueça de configurar o CEP também."
"Choose by lowest price","Escolher pelo menor preço"
"Choose shipping methods you want to show at checkout. If you select the methods you need to contract with the filling of your account information from Correios.","Escolha os métodos de entrega que você deseja mostrar no check-out. Se você selecionar os métodos que precisam de contrato é necessário o preenchimento das informações da sua conta do Correios."
"Debug mode","Modo de depuração"
"This method will be applied only when the customer purchase meet the requirements of the rules of promotions.","Este método será aplicado apenas quando a compra do cliente atender os requisitos das regras de promoções."
"Your administrative code by the ECT. The code is available in the body of the contract signed with the Correios.","Seu código administrativo junto à ECT. O código está disponível no corpo do contrato firmado com os Correios."
"The initial password corresponds to the 8-digit CNPJ informed of the contract.","A senha inicial corresponde aos 8 primeiros dígitos do CNPJ informado no contrato."
"Account code","Código da conta"
"Account password","Senha da conta"
"Time in days to add to the delivery time of Correios.","Tempo em dias para adicionar ao prazo de entrega do Correios."
"Add to delivery time","Adicionar ao prazo de entrega"
"The width of the products is greater than %d cm","A largura dos produtos é maior do que %d cm"
"The heigth of the products is greater than %d cm","A altura dos produtos é maior do que %d cm"
"The length of the products is greater than %d cm","O comprimento dos produtos é maior do que %d cm"
"The dimensions of the products have passed the limit of of %d cm","As dimensões dos produtos passaram do limite de %d cm"
"%s (%d working days)","%s (%d dias úteis)"
"%s (%d working day)","%s (%d dia útil)"
"Please, enter the postcode correctly.","Por favor, digite o código postal corretamente"
"The package weight exceeds the weight limit.","O peso do pacote excede o peso limite."
"Show method if not applicable","Mostrar método se não aplicável"
"Only if this option is yes the error messages will be displayed","Apenas se esta opção for sim as mensagens de erros serão apresentadas"
"Use stated value","Utilizar valor declarado"
"This option is required for the method Sedex a cobrar.","Esta opção é obrigatória para o método Sedex a cobrar."
"Sort order","Ordem"
"Handling Fee","Taxa de Manuseio"
"Calculate Handling Fee","Cálculo de Taxa de Manuseio"
"Fixed","Fixo"
"Percent","Porcentagem"
"Title","Título"
"Enabled","Habilitado"
"Yes","Sim"
"No","Não"
"This value will be added on final price of shipping","Este valor será adicionado no preço final do frete"
"The extension of PHP Soap must be installed so that the module Correios to function properly.","A extensão do PHP Soap deve estar instalada para que o módulo dos Correios funcione corretamente."
"You must to install PHP Soap extension to use shipping method Correios.","Você deve instalar a extensão Soap do PHP para usar o método de entrega dos Correios."
"Show delivery time","Mostrar o prazo de entrega"
"Use receipt warning","Usar aviso de recebimento"
"Use own hands","Utilizar mão própria"
"Cannot be possible to estimate shipping from Correios.","Não foi possível estimar o frete dos Correios."
"You must to select some shipping method.","Você deve selecionar um método de entrega."
